audio1|c’est là un minimum.
audio5103|au moment de quitter le petit port, mon oncle, qui tenait à sa nomenclature géographique, voulut lui donner un nom, le mien, entre autres.
audio5104|cette mesure soulagera, certes, des millions de contribuables.
audio5105|c’est le cas d’enercoop, qui vend directement à des acheteurs.
audio5106|la liste proposée par madame jouanno était nettement exagérée.
audio5107|la fusion n’est donc pas nécessairement une bonne chose.
audio5108|le nautilus se rapproche de long-island.
audio5109|nous le savons, la route sera longue !
audio5110|qu’a fait votre groupe ?
audio5111|les rocs entre lesquels se déversait la cascade à la lisière du plateau étaient hérissés de glaces.
audio5112|les rues sont étroites et pleines de virages serrés.
audio5113|je regardai autour de moi ; nous étions au centre d’un carrefour, auquel deux routes venaient aboutir, toutes deux sombres et étroites.
audio5114|elles veulent souvent demeurer dans leur logement.
audio5115|c’est ainsi que nous agirons au service de nos compatriotes.
audio5116|maintenant, quels étaient ces hommes ? combien étaient-ils ? combien en reste-t-il ?
audio5117|le contexte international s’est, lui aussi, profondément transformé.
audio5118|il ne le fit pas, il les garda prisonniers, et, pendant sept mois, ils purent contempler toutes les merveilles d’un voyage qui se poursuivit pendant vingt mille lieues sous les mers.
audio5119|là encore, je crois que c’est une bonne chose.
audio5120|dans l’amendement nous intégrons donc cette jurisprudence.
audio5121|cette noix est trop dure, croque-la avec tes molaires.
audio5122|alors oui, nous sommes fiers de ce que nous avons pu faire à paris.
audio5123|vous avez heurté profondément ce peuple.
audio5124|je le considérais avec un effroi mélangé d’intérêt, et sans doute, ainsi qu’oedipe considérait le sphinx.
audio5125|ayons à cœur toutefois de mettre les trains là où il faut qu’ils soient.
audio5126|le dispositif fera office de signal pour aller vers l’efficacité.
audio5127|moi non plus, mais enfin, il y a un risque.
audio5128|sur un sujet aussi grave !
audio5129|c’est pourquoi j’ai apporté mon soutien à l’appel lancé par les chercheurs.
audio5130|la cime de l'arbre bougeait avec les rafales de vent.
audio5131|on peut très bien imaginer un même projet porté par un groupe d’entreprises.
audio5132|nous en revenons aux amendements.
audio5133|l’endroit valait la peine d’être regardé.
audio5134|la vaisselle s'est cassée au sol avec grand fracas.
audio5135|le moulin et la basse-cour eurent particulièrement à souffrir.
audio5136|il décrivait une spirale dont le rayon diminuait de plus en plus.
audio5137|n’est-ce pas une urgence ?
audio5138|il avait promis un budget européen ambitieux ; ce dernier subit une baisse historique.
audio5139|au premier octobre deux mille douze soixante quinze pour cent l’étaient.
audio5140|ce n’est pas insignifiant.
audio5141|c’était un orang, et qui, comme tel, n’avait ni la férocité du babouin, ni l’irréflexion du macaque, ni la malpropreté du sagouin, ni les impatiences du magot, ni les mauvais instincts du cynocéphale.
audio5142|fin novembre, nous en serons à huit mille contrats signés.
audio5143|d’après les observations les plus exactes, l’augmentation de la température à l’intérieur du globe est d’un degré par cent pieds.
audio5144|une couche de neige gelée bordait la route.
audio5145|on gagne donc un an.
audio5146|il est bon que nous ayons maintenant ce débat.
audio5147|les veaux savourent l'herbe tendre du printemps.
audio5148|le lézard se réchauffe sur la muraille de galets bruns.
audio5149|l’arc se détendit, la flèche siffla, entraînant la corde, et vint passer entre les deux derniers échelons.
audio5150|je suis heureux que ce soit grâce à des parlementaires que nous abordions la question.
audio5151|ou il y a deux sortes de français, ou il n’y en a qu’une.
audio5152|il vient donc stabiliser les effectifs globaux du ministère de la défense.
audio5153|partout il doit s’améliorer.
audio5154|conseil revint à sa cabine mais le canadien, l’air assez préoccupé, me suivit.
audio5155|aucun des fugitifs n’était visible.
audio5156|glisse la facture du poêle entre ces deux feuilles.
audio5157|la reine et lui adorèrent la providence.
audio5158|je m’interroge, je suis circonspect quant à la manière de procéder du gouvernement.
audio5159|pour les grosses entreprises, nous organisons la résistance au plus haut niveau.
audio5160|c’est pareil pour l’énergie : on peut en profiter sans aller vers le gaspillage.
audio5161|et leur talent est indéniable, elles l’ont prouvé encore récemment.
audio5162|beaucoup se joue à kobané.
audio5163|la forêt se composait alors d’arbres dont la plupart avaient été déjà reconnus aux environs du lac et du plateau de grande-vue.
audio5164|cyrus smith et gédéon spilett, après être sortis, retrouvèrent leurs compagnons, auxquels ils firent connaître cet état de choses.
audio5165|c’est une pâtisserie délicate.
audio5166|c’est facile d’atteindre la branche en sautant du muret.
audio5167|retraites groupe de l’union pour un mouvement populaire.
audio5168|j’aime savoir sur quoi nous travaillons vraiment et quelles sont les règles en vigueur.
audio5169|une telle évolution va dans le bon sens.
audio5170|je ne pensais guère au soleil, aux étoiles, à la lune, aux arbres, aux maisons, aux villes, à toutes ces superfluités terrestres dont l’être sublunaire s’est fait une nécessité.
audio5171|le chat de françois bayrou convoiera les flammes.
audio5172|c’est un mugissement continu.
audio5173|de vifs rayons de soleil se glissaient à travers les arbres.
audio5174|le plus généralement, pencroff, harbert et nab marchaient en tête, précédés de top, qui fouillait les moindres coins.
audio5175|dans l’espace non urbain, il y a les forêts et les espaces naturels.
audio5176|le malheureux cétacé, couché sur le flanc, le ventre troué de morsures, était mort.
audio5177|en fait, toutes les tentatives de partage de travail ont échoué.
audio5178|moi aussi, je parle anglais à peu près couramment.
audio5179|c’est une histoire de fous.
audio5180|c’est déjà quelque chose.
audio5181|les personnes handicapées ont le droit à une retraite.
audio5182|et monsieur goasguen, qui sait tout et qui pense que les autres ne savent rien…
audio5183|quelques secondes, des siècles, se passèrent, et enfin ces paroles arrivèrent à mon oreille.
audio5184|l’accès à l’intérieur du brick était facile alors.
audio5185|c’était un prisonnier échappé de sa prison, et il ne songeait guère qu’il lui faudrait y rentrer.
audio5186|je regardai mes compagnons.
audio5187|on ne peut pas continuer comme ça.
audio5188|tout le monde partage ces objectifs.
audio5189|on n’a jamais rien vu de pareil.
audio5190|nous n’en sommes pas là, mais il ne faut pas que nous franchissions cette ligne jaune.
audio5191|la lampe électrique était combinée de manière à donner tout son pouvoir éclairant.
audio5192|j’ai quant à moi un avis de sagesse.
audio5193|il ne pouvait s’arracher du théâtre de sa dernière lutte, de cette mer qui avait dévoré l’un des siens !
audio5194|nous sommes prêts à nous aimer !
audio5195|or, l’on retrouve le nom de monsieur guéant dans cette affaire.
audio5196|monsieur goldberg y est revenu.
audio5197|madame la ministre, vous avez fait référence au droit européen et au droit international.
audio5198|j’en viens maintenant aux recettes, en forte hausse, de l’année deux mille treize.
audio5199|la marche fut reprise le jeudi à huit heures du matin.
audio5200|mais, nous le savons maintenant, le capitaine nemo ne fuit pas les mers civilisées, et dans quelques jours, je crois que vous pourrez agir avec quelque sécurité. »
audio5201|le meuble massif à l'entrée du salon était ciré.
audio5202|zadig cependant se promenait vers les jardins qui bordaient ce village.
audio5203|n’oubliez pas la loi sur le handicap !
audio5204|cela a été fait, plus ou moins.
audio5205|parfois, cependant, les lignes d’eau, divisées par son éperon, filaient devant nos regards avec une vitesse excessive.
audio5206|monsieur goasguen a voulu nous donner une leçon de débat parlementaire.
audio5207|il s’y trouvait une rivière qui fut appelée la mercy, une montagne qui prit le nom de franklin, un petit lac qui fut le lac grant, des forêts qui devinrent les forêts du far-west.
audio5208|et cette concertation peut s’échelonner sur de longues périodes.
audio5209|nos troupes vaillantes frappent de grands coups.
audio5210|pour être juge, c’est pareil !
audio5211|de quelle épouvante ? de quel désespoir je fus saisi alors, je ne saurais le dire.
audio5212|il était sept heures et demie du matin, quand les explorateurs, armés de bâtons, quittèrent les cheminées.
audio5213|tu n’as pas ouvert les yeux au bon moment.
audio5214|eh bien oui, nous l’ignorons !
audio5215|la première question est en rapport avec l'espace de droit et des affaires intérieures.
audio5216|les deux méthodes se valent…
audio5217|le changement climatique est la menace la plus identifiée.
audio5218|la lecture est donc bien inscrite parmi les préoccupations.
audio5219|or ce n’est pas le but que nous recherchons.
audio5220|c’est un petit pas, accompagné de beaucoup de cafouillages et d’erreurs.
audio5221|la cheville carrée est fixée au centre de la borne.
audio5222|il n’avait qu’à se laisser vivre et à expier dans l’isolement les crimes qu’il avait commis.
audio5223|la santé est descendue sur la place sombre.
audio5224|au potage succédèrent les pécaris, que pencroff voulut découper lui-même, et dont il servit des portions monstrueuses à chacun des convives.
audio5225|à quatre heures du matin, on pouvait estimer qu’une distance de cinq milles avait été franchie.
audio5226|nous pouvons poser aujourd’hui un petit caillou sur le chemin de la confiance retrouvée.
audio5227|plusieurs fois, je vis le capitaine nemo s’arrêter et mettre son fusil en joue ; puis, après quelques instants d’observation, il se relevait et reprenait sa marche.
audio5228|organe indépendant, le haut conseil formatera son avis comme il l’entend.
audio5229|on faisait halte alors ; mon oncle ou l’islandais me réconfortaient de leur mieux.
audio5230|les pales de l'hélice fendaient le nuage dense.
audio5231|pour conclure, ces sommets ont incontestablement fait bouger les lignes.
audio5232|les chasseurs étaient tentés par tout le gibier aquatique, qui établissait là ses quartiers d’hiver.
